hour,cpu_utilization,memory_utilization,network_gb_transferred,pipeline_runs_completed,avg_duration_minutes
0,22,38,1.2,2,18
1,18,35,0.8,1,15
2,65,72,8.5,8,22
3,20,36,1.0,1,12
4,15,32,0.6,1,10
5,18,34,0.8,1,14
6,24,40,1.8,2,16
7,38,52,4.2,5,17
8,58,65,9.8,10,18
9,72,74,14.5,14,16
10,78,78,16.8,16,15
11,75,76,15.5,15,14
12,55,65,9.2,9,17
13,70,73,13.8,13,15
14,76,77,15.2,15,14
15,74,75,14.8,14,16
16,68,72,12.5,12,15
17,52,63,8.8,8,18
18,35,50,4.5,4,20
19,28,44,3.0,3,17
20,24,40,2.2,2,15
21,20,37,1.5,2,14
22,18,35,1.0,1,12
23,15,32,0.8,1,10
