hour,cpu_utilization,memory_utilization,network_gb_transferred,requests_per_second,orders_completed
0,28,45,12.5,850,145
1,22,42,9.8,680,98
2,19,40,8.2,520,72
3,18,39,7.5,480,58
4,20,41,8.8,550,65
5,25,43,10.2,720,88
6,32,48,14.5,980,125
7,42,55,22.3,1450,215
8,51,62,31.2,2100,342
9,58,68,38.5,2680,458
10,65,72,45.8,3250,585
11,68,75,49.2,3580,628
12,71,77,52.4,3850,672
13,69,76,50.8,3720,645
14,67,74,48.5,3520,615
15,64,71,46.2,3280,588
16,62,69,44.5,3080,552
17,59,67,42.8,2850,518
18,56,64,40.2,2620,485
19,54,62,38.5,2420,455
20,51,59,36.8,2180,422
21,47,56,33.2,1920,378
22,41,52,27.5,1580,298
23,34,48,19.8,1150,205
