hour,cpu_utilization,memory_utilization,network_gb_transferred,requests_per_second,queries_completed
0,45,48,85.2,5200,18720
1,38,45,72.5,4300,15480
2,32,42,58.8,3500,12600
3,28,40,48.5,2850,10260
4,30,41,52.3,3100,11160
5,42,46,78.2,4850,17460
6,58,54,125.4,7800,28080
7,72,60,168.5,10500,37800
8,82,65,215.8,13400,48240
9,86,68,248.2,15450,55620
10,88,70,265.5,16500,59400
11,89,71,272.8,16950,61020
12,87,69,258.4,16050,57780
13,85,68,245.2,15250,54900
14,83,67,232.5,14450,52020
15,81,65,218.8,13600,48960
16,79,64,205.2,12750,45900
17,76,62,188.5,11700,42120
18,73,60,172.8,10750,38700
19,69,58,155.2,9650,34740
20,64,55,135.8,8450,30420
21,58,52,115.5,7200,25920
22,52,50,98.2,6100,21960
23,48,49,88.5,5500,19800
