hour,cpu_utilization,memory_utilization,network_gb_transferred,requests_per_second,bookings_completed
0,82,78,42.5,450,280
1,88,82,48.2,520,320
2,92,85,52.8,580,350
3,85,80,45.5,480,290
4,38,58,18.5,280,180
5,25,52,12.8,220,120
6,28,54,15.2,250,145
7,35,58,22.5,380,225
8,42,62,32.8,520,385
9,52,68,48.5,780,580
10,58,72,58.2,950,720
11,62,74,65.5,1050,820
12,64,76,68.8,1120,880
13,62,75,66.2,1080,850
14,60,73,62.5,1020,790
15,58,72,58.8,980,750
16,55,70,54.2,920,680
17,52,68,48.5,850,620
18,48,65,42.8,720,520
19,44,62,38.5,650,450
20,40,60,34.2,580,380
21,36,58,28.5,480,310
22,32,55,24.8,420,260
23,28,52,20.5,380,220
