hour,cpu_utilization,memory_utilization,network_gb_transferred,requests_per_second,streaming_hours_delivered
0,28,58,425.5,1200,42000
1,22,54,312.8,920,30240
2,18,51,245.2,720,23520
3,15,49,198.5,580,18720
4,14,48,182.4,520,16800
5,16,50,205.8,620,19320
6,20,52,268.5,820,25200
7,26,55,358.2,1080,33600
8,32,59,448.8,1350,42000
9,36,62,528.5,1580,49560
10,38,64,578.2,1720,54180
11,40,66,612.5,1820,57120
12,42,68,658.4,1950,61320
13,41,67,635.8,1880,59220
14,39,65,598.5,1770,55860
15,40,66,625.2,1850,58380
16,43,69,685.5,2030,63840
17,46,71,755.8,2230,70560
18,52,74,895.5,2650,83160
19,58,78,1025.8,3030,95340
20,62,80,1125.4,3330,104580
21,60,79,1085.2,3210,100800
22,54,76,965.8,2850,89460
23,42,68,725.5,2150,67200
