hour,cpu_utilization,memory_utilization,network_gb_transferred,requests_per_second,listening_hours_delivered
0,22,45,78.5,850,18900
1,18,42,62.4,680,15120
2,16,40,52.8,550,12600
3,15,39,48.5,510,11340
4,16,40,51.2,540,12180
5,20,43,68.5,750,17640
6,28,48,98.2,1080,25200
7,36,54,135.8,1490,34860
8,40,58,158.5,1740,40320
9,42,60,172.4,1890,43680
10,43,61,182.5,2000,46200
11,44,62,188.2,2060,47880
12,45,63,195.8,2140,49560
13,44,62,188.5,2060,47880
14,43,61,182.2,1990,46200
15,42,60,175.8,1920,43680
16,40,59,165.5,1810,40320
17,38,57,152.4,1670,37800
18,36,55,142.8,1560,35280
19,35,54,138.5,1510,34020
20,34,53,132.5,1450,32760
21,32,51,122.8,1340,30240
22,28,49,105.2,1150,25200
23,25,47,88.5,970,21420
